Valor, Comparacoes_Heap, Comparacoes_Lista
498, 1, 352
970, 7, 689
287, 1, 194
847, 3, 609
604, 1, 433
503, 3, 355
221, 2, 158
663, 3, 486
706, 4, 519
363, 2, 259
10, 1, 8
171, 2, 121
489, 3, 354
240, 2, 170
164, 1, 113
542, 4, 395
619, 4, 455
913, 5, 668
591, 2, 431
704, 3, 524
818, 4, 602
232, 1, 170
750, 4, 557
205, 2, 155
975, 7, 715
539, 2, 394
303, 1, 217
422, 2, 298
98, 1, 68
247, 1, 176
584, 3, 431
648, 4, 489
971, 6, 719
864, 3, 646
913, 3, 682
75, 1, 56
545, 2, 405
712, 2, 543
546, 1, 406
678, 2, 519
769, 3, 590
262, 1, 185
519, 1, 383
985, 7, 737
289, 1, 208
944, 4, 712
865, 3, 656
540, 2, 403
245, 1, 177
508, 3, 377
318, 2, 240
870, 3, 667
601, 2, 458
323, 2, 244
132, 1, 93
472, 2, 348
152, 1, 106
87, 1, 64
570, 2, 439
763, 1, 601
901, 3, 698
103, 1, 74
423, 3, 312
527, 3, 401
600, 3, 465
969, 6, 749
15, 1, 11
565, 2, 441
28, 1, 25
543, 3, 421
347, 1, 263
88, 1, 68
943, 5, 737
637, 2, 510
409, 1, 303
463, 2, 350
49, 1, 43
681, 3, 550
588, 2, 464
342, 1, 264
608, 2, 487
60, 1, 50
221, 2, 173
758, 2, 614
954, 5, 755
888, 4, 707
146, 1, 112
690, 3, 561
949, 4, 757
843, 3, 677
430, 1, 332
620, 2, 502
748, 2, 608
67, 1, 55
536, 3, 421
783, 4, 640
35, 1, 30
226, 1, 184
185, 1, 146
38, 1, 34
853, 4, 696
629, 3, 522
224, 1, 185
748, 3, 616
923, 5, 747
359, 1, 289
257, 1, 200
766, 3, 641
944, 6, 771
955, 6, 781
318, 1, 258
726, 3, 606
411, 1, 319
25, 1, 24
355, 1, 285
1, 1, 0
549, 1, 454
496, 2, 402
584, 3, 480
515, 2, 419
964, 6, 801
342, 1, 277
75, 1, 65
913, 3, 760
142, 1, 110
196, 1, 168
948, 5, 792
72, 2, 62
426, 2, 347
606, 2, 514
173, 1, 143
429, 2, 352
404, 1, 325
705, 4, 607
626, 2, 538
812, 4, 691
375, 1, 313
93, 1, 80
565, 3, 481
36, 1, 35
736, 3, 638
141, 2, 112
814, 4, 700
994, 9, 844
256, 1, 210
652, 3, 570
936, 4, 797
838, 2, 723
482, 1, 402
355, 2, 296
15, 1, 12
131, 1, 110
230, 2, 202
841, 3, 730
625, 1, 546
11, 1, 11
637, 2, 564
186, 1, 161
690, 4, 609
650, 2, 577
662, 2, 588
634, 3, 562
893, 4, 778
353, 1, 300
416, 2, 347
452, 2, 384
8, 1, 7
262, 1, 221
233, 1, 207
454, 3, 388
303, 2, 260
634, 3, 570
303, 1, 260
256, 2, 217
148, 1, 128
124, 1, 107
317, 1, 282
213, 1, 191
109, 1, 96
28, 1, 30
200, 1, 185
80, 2, 76
318, 2, 288
858, 4, 773
50, 1, 53
155, 1, 141
361, 2, 331
264, 2, 235
903, 5, 816
676, 2, 628
643, 1, 595
909, 6, 820
902, 5, 816
561, 2, 513
489, 1, 443
948, 7, 859
282, 1, 249
653, 3, 610
674, 3, 632
220, 2, 202
402, 2, 358
923, 5, 836
831, 3, 761
369, 1, 340
878, 3, 805
259, 2, 231
8, 1, 7
619, 3, 573
971, 7, 892
3, 1, 2
945, 5, 869
781, 2, 731
504, 1, 461
392, 2, 358
685, 2, 649
313, 1, 285
698, 2, 662
589, 2, 546
722, 3, 686
938, 4, 867
37, 1, 42
410, 2, 369
461, 2, 422
234, 2, 221
508, 3, 470
961, 6, 897
959, 5, 897
493, 1, 460
515, 1, 480
269, 2, 245
937, 4, 875
869, 3, 815
58, 1, 62
700, 2, 674
971, 6, 917
264, 2, 242
117, 1, 112
215, 2, 205
555, 3, 528
815, 5, 776
330, 1, 316
39, 1, 46
212, 1, 203
288, 1, 270
82, 1, 83
954, 5, 908
85, 1, 87
710, 2, 696
484, 1, 459
774, 3, 757
380, 1, 365
815, 3, 786
951, 4, 914
541, 3, 519
115, 1, 113
679, 3, 672
110, 1, 108
898, 5, 864
73, 1, 77
788, 3, 773
977, 7, 950
132, 1, 129
956, 4, 927
689, 3, 682
113, 1, 113
8, 1, 8
941, 3, 910
790, 2, 780
723, 1, 719
363, 2, 360
28, 1, 33
184, 1, 182
778, 3, 774
200, 1, 204
71, 1, 75
885, 4, 866
974, 6, 962
71, 1, 75
333, 2, 333
867, 3, 852
153, 1, 154
295, 2, 293
168, 1, 167
825, 2, 817
676, 1, 683
629, 3, 634
650, 3, 656
598, 2, 594
309, 1, 309
693, 3, 703
686, 2, 697
80, 1, 87
116, 1, 123
249, 1, 249
